url,captions (quotes included in output!)
https://i.imgur.com/EsFE7i4.jpg,"Pet me!"
https://i.imgur.com/eloOjqp.png,
https://i.imgur.com/fubK32Z.jpg,"Yesss..?"
https://i.imgur.com/q7giUE0.jpg,"I can HEAR these colors, man!"
https://i.imgur.com/tIz5Em4.jpg,
https://i.imgur.com/e1eDYO0.jpg,"Mom.  Mom mom mom mom mother mom mom mom MOMMY!"
https://i.imgur.com/S5zigBc.jpg,"Fancy chee."
https://i.imgur.com/6NEpeGl.jpg,
https://i.imgur.com/46DcSPF.jpg,"Collar chees."
https://i.imgur.com/qyvSsam.jpg,"Cheetos."
https://i.imgur.com/IrIJaUY.jpg,"Hoverchee."
https://i.imgur.com/gcL1ldT.jpg,"Collar chees."
https://i.imgur.com/pyqoQNF.jpg,
https://i.imgur.com/5mQwjNS.jpg,"This cheetah has mutant powers."
https://i.imgur.com/iLdeLYH.jpg,"Hold up."
https://i.imgur.com/hdS3MVQ.jpg,"That doesn't belong here!"
https://i.imgur.com/xOaxMC6.jpg,
https://i.imgur.com/6u5t9VQ.jpg,"Cheetah selfie!"
https://i.imgur.com/38D4R1N.jpg,"Leash chees."
